word,Pozitivitate,Negativitate,Furie,Anticipare,Dezgust,Frica,Bucurie,Tristete,Surpriza,Incredere
afiliat,1,0,0,0,0,0,0,0,0,0
afirma,1,0,0,0,0,0,0,0,0,1
afirmând,1,0,0,0,0,0,0,0,0,1
afirmare,1,0,0,0,0,0,0,0,0,0
afirmație,0,1,1,0,0,0,0,0,0,0
afirmativ,1,0,0,0,0,0,0,0,0,0
afirmativ,1,0,0,0,0,0,0,0,0,1
afluent,1,0,0,0,0,0,0,0,0,0
afluență,1,0,0,0,0,0,1,0,0,0
afront,0,1,1,0,1,1,0,1,1,0
aga,1,0,0,0,0,1,0,0,0,1
agățat,0,1,1,0,1,1,0,1,0,0
agil,1,0,0,0,0,0,0,0,0,0
agilitate,1,0,0,0,0,0,0,0,0,0
agitat,0,1,1,0,0,0,0,0,0,0
agitat,0,1,0,0,1,0,0,0,0,0
agitație,0,1,1,0,0,0,0,0,0,0
agitație,0,1,1,0,0,0,0,0,0,0
agonie,0,1,1,0,0,1,0,1,0,0
agonizant,0,1,0,0,0,1,0,0,0,0
agravant,0,1,1,0,0,0,0,1,0,0
agravare,0,1,1,0,1,0,0,0,0,0
agravat,0,1,1,0,0,0,0,0,0,0
agreabil,1,0,0,0,0,0,0,0,0,1
agrement,1,0,0,1,0,0,1,0,0,0
agresiune,0,1,1,0,0,1,0,0,0,0
agresiv,0,1,1,0,0,1,0,0,0,0
agresor,0,1,1,0,0,1,0,0,0,0
agricultură,1,0,0,0,0,0,0,0,0,0
ai grijă,0,1,0,1,0,1,0,0,0,0
aiureală,0,1,0,0,0,0,0,0,0,0
aiurit,0,1,0,0,0,0,0,1,0,0
ajunge,0,0,0,1,0,0,0,0,0,0
ajuta,1,0,0,0,0,0,0,0,0,1
ajutor,1,0,0,0,0,0,0,0,0,0
ajutor,1,0,0,0,0,0,0,0,0,1
alabastru,1,0,0,0,0,0,0,0,0,0
alarmă,0,1,0,0,0,1,0,0,1,0
alarmant,0,1,0,0,0,1,0,0,1,0
alătura,1,0,0,0,0,0,0,0,0,0
alăturat,1,0,0,0,0,0,0,0,0,0
alb,1,0,0,1,0,0,1,0,0,1
albastru,0,0,0,0,0,0,0,1,0,0
albină,0,0,1,0,0,1,0,0,0,0
alcoolism,0,1,1,0,1,1,0,1,0,0
alege,1,0,0,0,0,0,0,0,0,0
alegere,1,0,0,0,0,0,0,0,0,0
alerte,0,0,0,1,0,1,0,0,1,0
ales,1,0,0,0,0,0,0,0,0,0
ales,1,0,0,0,0,0,0,0,0,1
alianță,0,0,0,0,0,0,0,0,0,1
aliat,1,0,0,0,0,0,0,0,0,1
aliat,1,0,0,0,0,0,0,0,0,1
alienat,0,1,0,0,0,0,0,1,0,0
alimentație,1,0,0,0,0,0,0,0,0,0
alimentație,1,0,0,0,0,0,0,0,0,0
alimente,1,0,0,0,0,0,1,0,0,1
alinare,1,0,0,0,0,0,0,0,0,0
allegro,1,0,0,0,0,0,0,0,0,0
aloha,1,0,0,1,0,0,1,0,0,0
altele,0,1,0,0,0,0,0,1,0,0
alterat,0,1,0,0,0,0,0,0,0,0
altercație,0,1,1,0,0,0,0,0,0,0
aluat,0,1,1,0,0,1,0,0,0,0
aluneca,0,1,0,0,0,0,0,0,0,0
alunecare,1,0,0,1,0,0,1,0,0,0
alunecare,0,1,0,0,0,0,0,0,1,0
alunga,0,1,1,0,1,1,0,1,0,0
amabil,1,0,0,0,0,0,0,0,0,0
amânare,0,1,0,0,0,0,0,0,0,0
amant,1,0,0,1,0,0,1,0,0,1
amantă,0,1,1,0,1,0,0,0,0,0
amar,0,1,1,0,1,0,0,1,0,0
amărăciune,0,1,1,0,1,0,0,1,0,0
ambarcațiune,1,0,0,0,0,0,0,0,0,0
ambasador,1,0,0,0,0,0,0,0,0,1
ambiguu,0,1,0,0,0,0,0,0,0,0
ambiție,1,0,0,1,0,0,1,0,0,1
ambulanță,0,0,0,0,0,1,0,0,0,1
ambuscadă,0,1,1,0,0,1,0,0,1,0
ameliora,1,0,0,0,0,0,0,0,0,0
amenința,0,1,1,1,0,1,0,0,0,0
amenințare,0,1,1,0,0,1,0,0,0,0
amenințător,0,1,1,0,1,1,0,0,0,0
amenitate,1,0,0,0,0,0,0,0,0,0
amețeală,0,1,0,0,0,0,0,0,0,0
amețit,0,1,0,0,0,0,0,0,0,0
amețit,0,1,0,0,0,0,0,0,0,0
amfetamine,0,1,0,0,1,0,0,0,0,0
amical,1,0,0,0,0,0,1,0,0,0
amice,1,0,0,1,0,0,1,0,0,1
amin,1,0,0,0,0,0,1,0,0,1
amiral,1,0,0,0,0,0,0,0,0,1
amnezie,0,1,0,0,0,0,0,0,0,0
amnistie,1,0,0,0,0,0,1,0,0,0
amoniac,0,0,0,0,1,0,0,0,0,0
amorțeală,0,1,0,0,0,0,0,1,0,0
amorțit,0,1,0,0,0,0,0,0,0,0
amortizare,0,0,0,0,0,0,0,0,0,1
amortizor,0,1,0,0,0,0,0,0,0,0
amortizor,0,0,0,0,0,0,0,0,0,1
amuza,1,0,0,0,0,0,1,0,0,0
amuzament,1,0,0,0,0,0,1,0,0,0
amuzant,1,0,0,0,0,0,1,0,0,0
amuzat,1,0,0,0,0,0,1,0,0,0
anaconda,0,1,0,0,1,1,0,0,0,0
anal,0,1,0,0,0,0,0,0,0,0
analfabet,0,1,0,0,1,0,0,0,0,0
analist,1,0,0,1,0,0,0,0,0,1
anarhie,0,1,1,0,0,1,0,0,0,0
anarhism,0,1,1,0,0,1,0,0,0,0
anarhist,0,1,1,0,0,1,0,0,0,0
anatemă,0,1,1,0,1,1,0,1,0,0
ancestral,0,0,0,0,0,0,0,0,0,1
anchetă,1,0,0,1,0,0,0,0,0,0
ancoră,1,0,0,0,0,0,0,0,0,0
ancorare,1,0,0,0,0,0,0,1,0,0
andocat,0,1,0,0,0,0,0,0,0,0
angaja,0,0,0,0,0,0,0,0,0,1
angajat,1,0,0,0,0,0,0,0,0,1
angajat,1,0,0,1,0,0,1,0,0,1
angelic,1,0,0,0,0,0,1,0,0,1
anghină,0,1,0,0,0,1,0,0,0,0
angrenaj,1,0,0,0,0,0,0,0,0,0
anihila,0,1,1,0,0,1,0,0,0,0
anihilare,0,1,1,0,0,1,0,1,0,0
anihilat,0,1,1,0,0,1,0,1,0,0
anima,1,0,0,0,0,0,0,0,0,0
animat,1,0,0,0,0,0,1,0,0,0
animozitate,0,1,1,0,1,1,0,1,0,0
aniversare,1,0,0,1,0,0,1,0,1,0
anomalie,0,1,0,0,0,1,0,0,1,0
anonim,0,1,0,0,0,0,0,0,0,0
anormal,0,1,0,0,1,0,0,0,0,0
ansamblu,1,0,0,0,0,0,0,0,0,1
antagonism,0,1,1,0,0,0,0,0,0,0
antagonist,0,1,1,0,0,0,0,0,0,0
antagonist,0,1,1,0,1,0,0,0,0,0
antebraț,0,0,1,1,0,0,0,0,0,0
anterior,1,0,0,0,0,0,0,0,0,0
antibiotice,1,0,0,0,0,0,0,0,0,0
antic,1,0,0,0,0,0,0,0,0,0
anticipare,0,0,0,1,0,0,0,0,0,0
anticipat,0,0,0,1,0,0,0,0,0,0
antidot,1,0,0,1,0,0,0,0,0,1
antifungic,1,0,0,0,0,0,0,0,0,1
antiglonț,1,0,0,0,0,0,0,0,0,0
antihrist,0,1,1,0,1,1,0,0,0,0
antipatie,0,1,1,0,1,0,0,0,0,0
antipatie,0,1,1,0,1,0,0,0,0,0
antiseptic,1,0,0,0,0,0,0,0,0,1
antisocial,0,1,1,0,1,1,0,1,0,0
antiteză,0,1,1,0,0,0,0,0,0,0
antrax,0,1,0,0,1,1,0,1,0,0
antrenor,0,0,0,0,0,0,0,0,0,1
anula,0,1,0,0,0,0,0,0,0,0
anula,0,1,0,0,0,0,0,1,0,0
anula,0,1,0,0,0,1,0,0,0,0
anulare,0,1,0,0,0,0,0,1,0,0
anulat,0,1,1,0,1,1,0,1,0,0
anunț,0,0,0,1,0,0,0,0,0,0
anxietate,0,1,1,1,0,1,0,1,0,0
apache,0,1,0,0,0,1,0,0,0,0
apăra,1,0,0,0,0,1,0,0,0,0
apărare,1,0,1,1,0,1,0,0,0,0
apărarea,1,0,0,0,0,0,0,0,0,0
apărat,1,0,0,0,0,0,0,0,0,1
aparat de ras,0,0,0,0,0,1,0,0,0,0
apărător,1,0,0,0,0,0,0,0,0,1
apariție,0,0,0,0,0,1,0,0,1,0
apatic,0,1,0,0,0,0,0,1,0,0
apatic,0,1,0,0,0,0,0,0,0,0
apatic,0,1,0,0,0,0,0,1,0,0
apatie,0,1,0,0,0,0,0,1,0,0
Apeluri,0,1,0,1,0,0,0,0,0,1
apendicită,0,1,0,0,0,1,0,1,0,0
aplauze,1,0,0,0,0,0,1,0,1,1
aplauze,1,0,0,0,0,0,1,0,0,0
aplica,1,1,1,0,0,1,0,0,0,0
aplomb,1,0,0,0,0,0,0,0,0,0
apologetic,1,0,0,0,0,0,0,0,0,1
apostol,1,0,0,0,0,0,0,0,0,1
apostolic,0,0,0,0,0,0,0,0,0,1
apreciere,1,0,0,0,0,0,1,0,0,1
aproba,1,0,0,0,0,0,1,0,0,1
aprobare,1,0,0,0,0,0,0,0,0,1
aprobare,1,0,0,0,0,0,0,0,0,0
aprobarea,1,0,0,0,0,0,0,0,0,0
apropiere,1,0,0,0,0,0,1,0,0,1
aprovizionare,1,0,0,0,0,0,0,0,0,0
aptitudine,1,0,0,0,0,0,0,0,0,0
apuca,0,1,1,0,0,0,0,0,0,0
apus de soare,1,0,0,1,0,0,0,0,0,0
arătos,0,1,0,0,0,0,0,0,0,0
arbitraj,0,0,0,1,0,0,0,0,0,0
arbitru,0,0,0,0,0,0,0,0,0,1
arbitru,0,0,0,0,0,0,0,0,0,1
ardoare,1,0,0,0,0,0,0,0,0,0
arestare,0,1,0,0,0,0,0,0,0,0
arestare,0,1,0,0,0,0,0,1,0,0
arestat,0,1,1,0,0,1,0,0,0,0
argument,0,1,1,0,0,0,0,0,0,0
argumenta,0,1,1,0,0,0,0,0,0,0
argumentare,0,0,1,0,0,0,0,0,0,0
argumentativ,0,1,0,0,0,0,0,0,0,0
argumente,0,0,1,0,0,0,0,0,0,0
arhaic,0,1,0,0,0,0,0,0,0,0
arheologie,1,0,0,1,0,0,0,0,0,0
arhitectură,0,0,0,0,0,0,0,0,0,1
arid,0,1,0,0,0,0,0,1,0,0
arieratelor,0,1,0,0,0,0,0,0,0,0
aristocratic,1,0,0,0,0,0,0,0,0,0
aristocrație,1,0,0,0,0,0,0,0,0,0
armă,0,1,1,0,0,1,0,0,0,0
armament,0,0,1,0,0,1,0,0,0,0
armament,0,1,0,0,0,1,0,0,0,0
armat,1,1,1,0,0,1,0,0,0,0
arme de foc,0,1,1,0,0,1,0,0,0,0
armistițiu,1,0,0,0,0,0,1,0,0,1
armură,1,0,0,0,0,1,0,0,0,1
arogant,0,1,1,0,1,0,0,0,0,0
aroganță,0,1,0,0,0,0,0,0,0,0
aromă,1,0,0,0,0,0,0,0,0,0
aromat,1,0,0,0,0,0,0,0,0,0
ars,0,1,0,0,1,0,0,0,0,0
arsenal,0,0,0,0,0,0,0,0,0,1
arsenic,0,1,0,0,1,1,0,1,0,0
artă,1,0,0,1,0,0,1,1,1,0
articole,0,1,0,0,0,1,0,0,0,0
articula,1,0,0,0,0,0,0,0,0,0
articulare,1,0,0,0,0,0,0,0,0,0
artilerie,0,1,0,0,0,1,0,0,0,0
artistic,1,0,0,0,0,0,0,0,0,0
artizan,1,0,0,0,0,0,0,0,0,0
artizan,1,0,0,0,0,0,0,0,0,0
as,1,0,0,0,0,0,0,0,0,0
asalt,0,1,1,0,0,1,0,0,0,0
asalta,0,1,1,0,0,1,0,0,1,0
asamblare,1,0,0,0,0,0,0,0,0,1
asasin,0,1,1,0,0,1,0,1,0,0
asasin,0,1,1,0,1,1,0,0,0,0
asasina,0,1,1,0,0,1,0,0,0,0
asasinat,0,1,1,0,0,1,0,1,0,0
ascendent,1,0,0,0,0,0,0,0,0,0
ascensiune,1,0,0,0,0,0,0,0,0,0
asculta,0,0,0,0,0,1,0,0,0,1
ascultare,1,0,0,0,0,0,0,0,0,1
ascunde,0,1,0,0,0,0,0,1,0,0
ascunde,0,0,0,0,0,1,0,0,0,0
ascuns,0,1,0,1,0,1,0,0,1,0
ascuns,0,1,0,0,0,0,0,0,0,0
ascunzătoare,0,0,0,0,0,1,0,0,0,0
ascuți,0,0,1,1,0,0,0,0,0,0
asigura,0,0,0,0,0,0,0,0,0,1
asigura,1,0,0,0,0,0,0,0,0,1
asigurare,1,0,0,0,0,0,0,0,0,1
asigurat,1,0,0,0,0,0,0,0,0,1
asimetrie,0,0,0,0,1,0,0,0,0,0
asistentă,1,0,0,0,0,0,0,0,0,1
asistență,1,0,0,0,0,0,0,0,0,0
asociat,1,0,0,0,0,0,0,0,0,1
asociație,0,0,0,0,0,0,0,0,0,1
asociere,1,0,0,0,0,0,0,0,0,1
aspidă,0,0,0,0,0,1,0,0,0,0
aspira,1,0,0,1,0,0,1,0,0,0
aspiră,1,0,0,1,0,0,1,0,0,1
aspirație,1,0,0,1,0,0,1,0,1,1
aspru,0,1,1,0,1,0,0,0,0,0
așteaptă,0,0,0,1,0,0,0,0,0,0
aștepta,0,0,0,1,0,0,0,0,0,0
aștepta,1,0,0,1,0,0,0,0,1,1
aștepta,0,1,0,1,0,0,0,0,0,0
așteptare,0,0,0,1,0,0,0,0,0,0
așteptare,1,0,0,1,0,0,0,0,0,0
așteptat,0,0,0,1,0,0,0,0,0,0
astringent,0,1,0,0,0,0,0,0,0,0
astrolog,1,0,0,1,0,0,0,0,0,0
astronaut,1,0,0,0,0,0,0,0,0,0
astronom,1,0,0,1,0,0,0,0,0,0
atac,0,1,1,0,1,0,0,0,0,0
atac,0,1,1,0,0,1,0,0,0,0
atacator,0,1,1,0,0,1,0,1,0,0
atașament,1,0,0,0,0,0,0,0,0,0
ateism,0,1,0,0,0,0,0,0,0,0
atent,1,0,0,0,0,0,0,0,0,1
atent,1,0,0,0,0,0,0,0,0,0
atent,1,0,0,0,0,0,0,0,0,0
atent,1,0,0,0,0,0,0,0,0,0
atenție,1,0,0,0,0,0,0,0,0,0
atenua,1,0,0,0,0,0,0,0,0,0
atenuare,0,1,0,0,0,0,0,1,0,0
atenuat,0,1,0,0,0,0,0,0,0,0
ateroscleroza,0,1,0,0,0,1,0,1,0,0
atesta,1,0,0,0,0,0,0,0,0,1
atestare,0,0,0,0,0,0,0,0,0,1
ateu,0,1,1,0,0,0,0,0,0,0
atins,0,1,0,0,0,0,0,0,0,0
atlet,1,0,0,0,0,0,0,0,0,0
atletic,1,0,0,0,0,0,0,0,0,0
atom,1,0,0,0,0,0,0,0,0,0
atotputernic,1,0,0,0,0,0,0,0,0,0
atracție,1,0,0,0,0,0,0,0,0,0
atracție,1,0,0,0,0,0,0,0,0,0
atroce,0,1,1,0,1,0,0,0,0,0
atrocitate,0,1,1,0,1,1,0,1,0,0
atrofie,0,1,0,0,1,1,0,1,0,0
audiență,0,0,0,1,0,0,0,0,0,0
auditor,0,0,0,0,0,1,0,0,0,1
August,1,0,0,0,0,0,0,0,0,0
aur,1,0,0,0,0,0,0,0,0,0
aură,1,0,0,0,0,0,0,0,0,0
auster,0,1,0,0,0,1,0,1,0,0
austeritate,0,1,0,0,0,0,0,0,0,0
autentic,1,0,0,0,0,0,1,0,0,1
autentic,1,0,0,0,0,0,0,0,0,1
autenticitate,1,0,0,0,0,0,0,0,0,1
autentifica,0,0,0,0,0,0,0,0,0,1
autentificare,0,0,0,0,0,0,0,0,0,1
autocratic,0,1,0,0,0,0,0,0,0,0
automat,0,0,0,0,0,0,0,0,0,1
automulțumire,1,0,0,0,0,0,0,0,0,0
autopsie,0,1,0,0,1,1,0,1,0,0
autor,1,0,0,0,0,0,0,0,0,1
autoritar,1,0,0,0,0,0,0,0,0,1
autoritate,1,0,0,0,0,0,0,0,0,1
autoriza,0,0,0,0,0,0,0,0,0,1
autorizat,1,0,0,0,0,0,0,0,0,0
autorizație,1,0,0,0,0,0,0,0,0,1
auz,0,1,0,0,0,1,0,0,0,0
avalanșă,0,1,0,0,0,1,0,1,1,0
avans,1,0,0,1,0,1,1,0,1,0
avansare,1,0,0,0,0,0,0,0,0,0
avansat,1,0,0,0,0,0,0,0,0,0
avantaj,1,0,0,0,0,0,0,0,0,0
avantajos,1,0,0,0,0,0,0,0,0,0
avariție,0,1,1,0,1,0,0,0,0,0
avatar,1,0,0,0,0,0,0,0,0,0
aventură,1,0,0,1,0,0,0,0,0,0
aventuros,1,0,0,0,0,0,0,0,0,0
avere,1,0,0,1,0,0,1,0,1,1
avere,1,0,0,0,0,0,1,0,0,1
aversiune,0,1,1,0,1,1,0,0,0,0
avertiza,0,1,0,1,0,1,0,0,1,1
avertizare,0,0,0,0,0,1,0,0,0,0
avertizat,0,1,0,1,0,1,0,0,0,0
avizat,0,0,0,0,0,0,0,0,0,1
avocat,0,0,0,0,0,0,0,0,0,1
avocat,1,0,1,0,0,1,0,0,0,1
avocat,0,1,1,0,1,1,0,0,0,0
avort,0,1,0,0,1,1,0,1,0,0
avort,0,1,0,0,0,1,0,1,0,0
avorta,0,1,0,0,0,0,0,0,0,0
axiomă,0,0,0,0,0,0,0,0,0,1
axiomatic,0,0,0,0,0,0,0,0,0,1
ay,1,0,0,0,0,0,0,0,0,0
aye,1,0,0,0,0,0,0,0,0,0
azil,0,1,0,0,0,1,0,0,0,0
ba,0,1,0,0,0,0,0,0,0,0
babuin,0,1,0,0,1,0,0,0,0,0
babysitter,0,0,0,0,0,0,0,0,0,1
bacalaureat,1,0,0,0,0,0,0,0,0,0
bacterie,0,1,0,0,1,1,0,0,0,0
bacterii,0,1,0,0,1,1,0,1,0,0
băga,0,0,1,0,0,0,0,0,0,0
băiat,0,1,0,0,1,0,0,0,0,0
baie,1,0,0,0,0,0,0,0,0,0
baionetă,0,1,1,0,0,1,0,0,0,0
bâjbâi,0,1,1,0,1,1,0,0,0,0
baladă,1,0,0,0,0,0,0,0,0,0
bălălău,0,0,0,0,0,0,0,0,1,0
balaur,0,0,0,0,0,1,0,0,0,0
balet,1,0,0,0,0,0,0,0,0,0
balot,0,1,0,0,0,1,0,0,0,0
balsam,1,1,0,1,0,0,1,0,0,0
balsam,1,0,0,0,0,0,0,0,0,0
ban,0,1,0,0,0,0,0,0,0,0
banal,0,0,0,1,0,0,0,0,0,1
bancă,0,0,0,0,0,0,0,0,0,1
bancher,0,0,0,0,0,0,0,0,0,1
banchet,1,0,0,1,0,0,1,0,0,0
bandă,0,1,1,0,0,1,0,0,0,0
bandă,0,1,0,0,0,0,0,1,0,0
bandit,0,1,0,0,0,0,0,0,0,0
Banger,0,1,1,1,0,1,0,0,1,0
bani,1,0,1,1,0,0,1,0,1,1
Banshee,0,1,1,0,1,1,0,1,0,0
bănuială,0,1,0,0,0,0,0,0,0,0
barat,0,1,0,0,0,0,0,0,0,0
barb,0,1,1,0,0,0,0,0,0,0
barbar,0,1,0,0,0,1,0,0,0,0
barbar,0,1,1,0,1,1,0,0,0,0
barbarism,0,1,0,0,0,0,0,0,0,0
bărbătesc,1,0,0,0,0,0,0,0,0,0
bărbăție,1,0,0,0,0,0,0,0,0,0
bard,1,0,0,0,0,0,0,0,0,0
barf,0,0,0,0,1,0,0,0,0,0
bârfă,0,1,0,0,0,0,0,0,0,0
baricadă,0,1,0,0,0,1,0,0,0,0
barieră,0,1,1,0,0,0,0,0,0,0
barman,0,0,0,0,0,0,0,0,0,1
baschet,1,0,0,1,0,0,1,0,0,0
bășică,0,1,0,0,1,0,0,0,0,0
Bastard,0,1,0,0,1,0,0,1,0,0
bastion,1,0,1,0,0,0,0,0,0,0
baston,0,0,1,0,0,1,0,0,0,0
bătaie,0,1,1,0,0,1,0,1,0,0
bătălie,0,1,1,0,0,0,0,0,0,0
batalion,0,0,1,0,0,0,0,0,0,0
bătător la ochi,0,1,0,0,1,0,0,0,1,0
bătător la ochi,0,1,1,0,0,0,0,0,0,0
bătăuș,0,1,1,0,0,1,0,0,0,0
bate,1,0,0,1,0,0,1,0,0,1
bate,0,1,1,0,1,1,0,1,0,0
baterie,0,1,1,0,0,0,0,0,0,0
batjocoritor,0,1,1,0,1,0,0,1,0,0
bătrâni,1,0,0,0,0,0,0,0,0,1
băut,0,1,0,0,0,0,0,0,0,0
băutură,1,0,0,0,0,0,0,0,0,0
bază,0,0,0,0,0,0,0,0,0,1
bază,1,0,0,0,0,0,0,0,0,0
bâzâi,0,1,1,0,1,0,0,0,0,0
bâzâit,1,0,0,1,0,1,0,0,0,0
beat,0,1,0,0,1,0,0,0,0,0
Behemoth,0,1,0,0,0,1,0,0,0,0
beligerant,0,1,1,0,0,1,0,0,0,0
belșug,1,0,0,0,0,0,0,0,0,0
bender,0,1,0,0,0,0,0,0,0,0
benefic,1,0,0,0,0,0,0,0,0,0
beneficiu,1,0,0,0,0,0,0,0,0,0
benign,1,0,0,0,0,0,1,0,0,0
bere,1,0,0,0,0,0,1,0,0,0
bestial,0,1,0,0,1,1,0,0,0,0
bestial,0,1,0,0,1,1,0,0,0,0
beție,0,1,0,0,0,0,0,0,0,0
beție,0,1,0,0,0,0,0,0,0,0
beznă,0,1,0,0,0,0,0,1,0,0
biblic,1,0,0,0,0,0,0,0,0,0
bibliotecă,1,0,0,0,0,0,0,0,0,0
bici,0,1,1,0,0,0,0,0,0,0
biciui,0,1,1,0,1,1,0,1,0,0
bienal,0,0,0,1,0,0,0,0,0,0
bigot,0,1,1,0,1,1,0,0,0,0
bigot,0,1,1,0,1,1,0,1,0,0
bijuterie,1,0,0,0,0,0,1,0,0,0
bilă,0,1,1,0,1,0,0,0,0,0
bilingv,1,0,0,0,0,0,0,0,0,0
binecuvânta,1,0,0,1,0,0,1,0,0,1
binecuvântare,1,0,0,1,0,0,1,0,0,1
binecuvântări,1,0,0,1,0,0,1,0,1,1
